"code","phecode_unrolled"
"327.311","327.311"
"327.311","327.31"
"327.311","327.3"
"327.311","327"
"327.312","327.312"
"327.312","327.31"
"327.312","327.3"
"327.312","327"
"327.313","327.313"
"327.313","327.31"
"327.313","327.3"
"327.313","327"
"327.314","327.314"
"327.314","327.31"
"327.314","327.3"
"327.314","327"
"327.315","327.315"
"327.315","327.31"
"327.315","327.3"
"327.315","327"
"327.316","327.316"
"327.316","327.31"
"327.316","327.3"
"327.316","327"
"327.32","327.32"
"327.32","327.3"
"327.32","327"
"327.4","327.4"
"327.4","327"
"327.41","327.41"
"327.41","327.4"
"327.41","327"
"327.5","327.5"
"327.5","327"
"327.6","327.6"
"327.6","327"
"327.7","327.7"
"327.7","327"
"327.71","327.71"
"327.71","327.7"
"327.71","327"
"331","331"
"331.1","331.1"
"331.1","331"
"331.9","331.9"
"331.9","331"
"332","332"
"333","333"
"333.1","333.1"
"333.1","333"
"333.2","333.2"
"333.2","333"
"333.3","333.3"
"333.3","333"
"333.4","333.4"
"333.4","333"
"333.8","333.8"
"333.8","333"
"334","334"
"334.1","334.1"
"334.1","334"
"334.2","334.2"
"334.2","334"
"335","335"
"337","337"
"337.1","337.1"
"337.1","337"
"338","338"
"338.1","338.1"
"338.1","338"
"338.2","338.2"
"338.2","338"
"339","339"
"340","340"
"340.1","340.1"
"340.1","340"
"341","341"
"342","342"
"343","343"
"343.1","343.1"
"343.1","343"
"343.2","343.2"
"343.2","343"
"343.3","343.3"
"343.3","343"
"343.4","343.4"
"343.4","343"
"343.5","343.5"
"343.5","343"
"344","344"
"345","345"
"345.1","345.1"
"345.1","345"
"345.11","345.11"
"345.11","345.1"
"345.11","345"
"345.111","345.111"
"345.111","345.11"
"345.111","345.1"
"345.111","345"
"345.112","345.112"
"345.112","345.11"
"345.112","345.1"
"345.112","345"
"345.113","345.113"
"345.113","345.11"
"345.113","345.1"
"345.113","345"
"345.114","345.114"
"345.114","345.11"
"345.114","345.1"
"345.114","345"
"345.115","345.115"
"345.115","345.11"
"345.115","345.1"
"345.115","345"
"345.12","345.12"
"345.12","345.1"
"345.12","345"
"345.121","345.121"
"345.121","345.12"
"345.121","345.1"
"345.121","345"
"345.122","345.122"
"345.122","345.12"
"345.122","345.1"
"345.122","345"
"345.123","345.123"
"345.123","345.12"
"345.123","345.1"
"345.123","345"
"345.124","345.124"
"345.124","345.12"
"345.124","345.1"
"345.124","345"
"345.125","345.125"
"345.125","345.12"
"345.125","345.1"
"345.125","345"
"345.126","345.126"
"345.126","345.12"
"345.126","345.1"
"345.126","345"
"345.127","345.127"
"345.127","345.12"
"345.127","345.1"
"345.127","345"
"345.128","345.128"
"345.128","345.12"
"345.128","345.1"
"345.128","345"
"345.13","345.13"
"345.13","345.1"
"345.13","345"
"345.14","345.14"
"345.14","345.1"
"345.14","345"
"345.15","345.15"
"345.15","345.1"
"345.15","345"
"345.3","345.3"
"345.3","345"
"345.31","345.31"
"345.31","345.3"
"345.31","345"
"345.32","345.32"
"345.32","345.3"
"345.32","345"
"346","346"
"346.1","346.1"
"346.1","346"
"346.2","346.2"
"346.2","346"
"346.3","346.3"
"346.3","346"
"347","347"
"348","348"
"348.2","348.2"
"348.2","348"
"348.4","348.4"
"348.4","348"
"348.7","348.7"
"348.7","348"
"348.8","348.8"
"348.8","348"
"348.9","348.9"
"348.9","348"
"349","349"
"350","350"
"350.1","350.1"
"350.1","350"
"350.2","350.2"
"350.2","350"
"350.3","350.3"
"350.3","350"
"350.5","350.5"
"350.5","350"
